artist,album_title,release_date,sales

(여자)아이들,I NEVER DIE,2022-03-14,285432

(여자)아이들,I love,2022-10-17,794321

(여자)아이들,I feel,2023-05-15,1318754

(여자)아이들,2,2024-01-29,1537083

에스파,Savage,2021-10-05,684321

에스파,Girls,2022-07-08,1854321

에스파,MY WORLD,2023-05-08,2101388

에스파,Armageddon,2024-05-27,1354321

아이브,LOVE DIVE,2022-04-05,924387

아이브,After LIKE,2022-08-22,1732984

아이브,I've IVE,2023-04-10,1985432

아이브,I'VE MINE,2023-10-13,1875432

르세라핌,FEARLESS,2022-05-02,543210

르세라핌,ANTIFRAGILE,2022-10-17,1030854

르세라핌,UNFORGIVEN,2023-05-01,1354321

르세라핌,EASY,2024-02-19,1054321

뉴진스,New Jeans,2022-08-01,1543287

뉴진스,OMG,2023-01-02,1654321

뉴진스,Get Up,2023-07-21,2054321

트와이스,FANCY YOU,2019-04-22,543287

트와이스,Formula of Love: O+T=<3,2021-11-12,987432

트와이스,READY TO BE,2023-03-10,1743287

블랙핑크,SQUARE UP,2018-06-15,654321

블랙핑크,KILL THIS LOVE,2019-04-05,789432

블랙핑크,THE ALBUM,2020-10-02,1567890

블랙핑크,BORN PINK,2022-09-16,2876543

BTS,Love Yourself: Her,2017-09-18,3054321

BTS,MAP OF THE SOUL : PERSONA,2019-04-12,5023487

BTS,MAP OF THE SOUL : 7,2020-02-21,5154321

BTS,BE,2020-11-20,3875432

세븐틴,An Ode,2019-09-16,1287432

세븐틴,Heng:garae,2020-06-22,1543287

세븐틴,Attacca,2021-10-22,2345876

세븐틴,FML,2023-04-24,6278432

스트레이 키즈,NOEASY,2021-08-23,1675432

스트레이 키즈,MAXIDENT,2022-10-07,3421876

스트레이 키즈,★★★★★ (5-STAR),2023-06-02,5248765

스트레이 키즈,樂-STAR (ROCK-STAR),2023-11-10,3987654

투모로우바이투게더,The Chaos Chapter: FREEZE,2021-05-31,876543

투모로우바이투게더,minisode 2: Thursday's Child,2022-05-09,1854321

투모로우바이투게더,The Name Chapter: TEMPTATION,2023-01-27,2765432

투모로우바이투게더,minisode 3: TOMORROW,2024-04-01,1754321
